,player_name,Season,Fastballs,velocity,spin_rate,pitch_percent,total_pitches,days_injured
2273,Ryan Dull,2018,158,90.7,2369,47.7,331,0
2274,John Lamb,2018,155,87.3,2170,76.7,202,0
2275,Luiz Gohara,2018,154,94.1,2088,51,302,1
2276,Yimi Garcia,2018,154,94.6,2578,46.2,333,0
2277,Brandon Maurer,2018,154,95.6,2295,49.4,312,0
2278,Jorge Lopez,2018,154,94.1,1945,49,314,0
2279,Austin Gomber,2018,150,93.7,2019,45.3,331,0
2280,Josh Osich,2018,150,93.5,2272,66.1,227,0
2281,Jalen Beeks,2018,150,89.7,2065,68.5,219,0
2282,Alan Busenitz,2018,150,94.9,2508,57.7,260,0
2283,Justin Hancock,2018,147,96.4,2452,71.4,206,0
2284,Andrew Chafin,2018,146,93.6,2146,23.3,627,0
2285,Enny Romero,2018,143,95.1,2263,68.8,208,0
2286,Luis Cessa,2018,142,94.8,2303,46,309,0
2287,Brooks Pounders,2018,142,92.4,2218,48.5,293,0
2288,Tyler Bashlor,2018,142,96,2615,67.9,209,0
2289,Brandon Finnegan,2018,140,91.3,2194,35.4,396,0
2290,Liam Hendriks,2018,140,92.8,2237,56.9,246,0
2291,Odrisamer Despaigne,2018,139,88.3,2382,39.2,355,0
2292,Daniel Norris,2018,139,89,2355,49.5,281,0
2293,Akeel Morris,2018,137,92.3,2204,54.2,253,0
2294,Adalberto Mejia,2018,135,92.4,2475,62.8,215,1
2295,Tanner Rainey,2018,134,97.7,2428,70.9,189,0
2296,Ryan Carpenter,2018,134,90.3,2193,54.7,245,0
2297,Luke Gregerson,2018,134,87.7,2327,64.7,207,0
2298,Wily Peralta,2018,134,96.6,1866,51.1,262,0
2299,Brett Cecil,2018,132,88,2137,31.7,417,0
2300,Jose Castillo,2018,131,95,2239,51.8,253,0
2301,Jake Thompson,2018,130,90.7,2084,45.5,286,0
2302,Raisel Iglesias,2018,130,95.3,2325,17.6,740,0
2303,Daniel Ponce de Leon,2018,130,92.3,2275,82.3,158,0
